时间,时,分,秒,纬度,N/S,经度,E/W,年,月,日
013238,01,32,38,1047.533,N,11141.856,E,2017,05,10,
013238,01,32,38,4047.533,N,11141.856,E,
013239,01,32,39,2047.532,N,11141.852,E,2017,05,10,
013239,01,32,39,4047.532,N,11141.852,E,
013239,01,32,39,3047.532,N,11141.852,E,2017,05,10,
013239,01,32,39,4047.532,N,11141.852,E,
013241,01,32,41,4047.557,N,11141.837,E,2017,05,10,
013241,01,32,41,4047.557,N,11141.837,E,
013242,01,32,42,5047.563,N,11141.830,E,2017,05,10,
013242,01,32,42,4047.563,N,11141.830,E,
013243,01,32,43,6047.561,N,11141.826,E,2017,05,10,
013243,01,32,43,4047.561,N,11141.826,E,
